price,carat,total_depth_%,table,length,width,depth,cut,color,clarity,color_mod,clarity_mod,,,
367,0.2,61.5,57,3.81,3.77,2.33,Ideal,D,VS2,1,5,ok,no,ok
367,0.2,59.7,55,3.86,3.84,2.3,Ideal,E,VS2,2,5,ok,no,ok
340,0.23,62.8,56,3.93,3.9,2.46,Ideal,J,VS1,7,4,ok,no,ok
404,0.23,61.9,54,3.93,3.95,2.44,Ideal,G,VS1,4,4,ok,no,ok
2757,0.7,62.5,57,5.7,5.72,3.57,Ideal,E,SI1,2,6,no,ok,ok
2757,0.7,61.6,56,5.7,5.67,3.5,Ideal,G,VS2,4,5,no,ok,ok
2760,0.74,61.6,55,5.8,5.85,3.59,Ideal,G,SI1,4,6,no,ok,ok
2760,0.8,62.9,56,5.94,5.87,3.72,Ideal,I,VS1,6,4,no,ok,ok
2760,0.75,62.2,55,5.87,5.8,3.63,Ideal,G,SI1,4,6,no,ok,ok
2761,0.74,62.3,55,5.77,5.81,3.61,Ideal,I,VVS2,6,3,no,ok,ok
2761,0.81,58.8,57,6.14,6.11,3.6,Ideal,F,SI2,3,7,no,ok,ok
2761,0.59,62,55,5.38,5.43,3.35,Ideal,E,VVS2,2,3,no,ok,ok
2761,0.8,61.4,57,5.96,6,3.67,Ideal,F,SI2,3,7,no,ok,ok
2761,0.74,62.2,56,5.8,5.84,3.62,Ideal,E,SI2,2,7,no,ok,ok
2764,0.71,61.9,59,5.69,5.72,3.53,Ideal,D,SI1,1,6,no,ok,ok
2765,0.76,61.2,57,5.88,5.91,3.61,Ideal,H,SI1,5,6,no,ok,ok
2766,0.64,61.9,56,5.53,5.56,3.43,Ideal,G,VVS1,4,2,no,ok,ok
2768,0.7,60.9,57,5.73,5.76,3.5,Ideal,E,SI1,2,6,no,ok,ok
2769,0.74,61.3,56,5.82,5.86,3.57,Ideal,I,SI1,6,6,no,ok,ok
2770,0.76,62.4,57,5.78,5.83,3.62,Ideal,D,SI2,1,7,no,ok,ok
2770,0.71,60.7,56,5.77,5.8,3.51,Ideal,F,SI1,3,6,no,ok,ok
2770,0.73,59.9,57,5.92,5.89,3.54,Ideal,D,SI2,1,7,no,ok,ok
2771,0.71,61.9,57,5.73,5.77,3.56,Ideal,G,VS2,4,5,no,ok,ok
2771,0.79,61.9,55,5.97,5.92,3.68,Ideal,F,SI2,3,7,no,ok,ok
2772,0.58,61.5,55,5.39,5.44,3.33,Ideal,G,VVS1,4,2,no,ok,ok
2772,0.58,61.7,56,5.33,5.37,3.3,Ideal,F,VVS1,3,2,no,ok,ok
2773,0.75,61.3,56,5.85,5.89,3.6,Ideal,D,SI2,1,7,no,ok,ok
2774,0.6,61.7,55,5.41,5.44,3.35,Ideal,E,VS1,2,4,no,ok,ok
2774,0.7,62.7,55,5.68,5.74,3.58,Ideal,E,SI1,2,6,no,ok,ok
2776,0.71,62.2,57,5.79,5.62,3.55,Ideal,E,VS2,2,5,no,ok,ok
