price,carat,total_depth_%,table,length,width,depth,cut,color,clarity,color_mod,clarity_mod
326,0.23,61.5,55,3.95,3.98,2.43,Ideal,E,SI2,2,7
326,0.21,59.8,61,3.89,3.84,2.31,Premium,E,SI1,2,6
327,0.23,56.9,65,4.05,4.07,2.31,Good,E,VS1,2,4
334,0.29,62.4,58,4.2,4.23,2.63,Premium,I,VS2,6,5
335,0.31,63.3,58,4.34,4.35,2.75,Good,J,SI2,7,7
336,0.24,62.8,57,3.94,3.96,2.48,Very Good,J,VVS2,7,3
336,0.24,62.3,57,3.95,3.98,2.47,Very Good,I,VVS1,6,2
337,0.26,61.9,55,4.07,4.11,2.53,Very Good,H,SI1,5,6
337,0.22,65.1,61,3.87,3.78,2.49,Fair,E,VS2,2,5
338,0.23,59.4,61,4,4.05,2.39,Very Good,H,VS1,5,4
339,0.3,64,55,4.25,4.28,2.73,Good,J,SI1,7,6
340,0.23,62.8,56,3.93,3.9,2.46,Ideal,J,VS1,7,4
342,0.22,60.4,61,3.88,3.84,2.33,Premium,F,SI1,3,6
344,0.31,62.2,54,4.35,4.37,2.71,Ideal,J,SI2,7,7
345,0.2,60.2,62,3.79,3.75,2.27,Premium,E,SI2,2,7
345,0.32,60.9,58,4.38,4.42,2.68,Premium,E,I1,2,8
348,0.3,62,54,4.31,4.34,2.68,Ideal,I,SI2,6,7
351,0.3,63.4,54,4.23,4.29,2.7,Good,J,SI1,7,6
351,0.3,63.8,56,4.23,4.26,2.71,Good,J,SI1,7,6
351,0.3,62.7,59,4.21,4.27,2.66,Very Good,J,SI1,7,6
351,0.3,63.3,56,4.26,4.3,2.71,Good,I,SI2,6,7
352,0.23,63.8,55,3.85,3.92,2.48,Very Good,E,VS2,2,5
353,0.23,61,57,3.94,3.96,2.41,Very Good,H,VS1,5,4
353,0.31,59.4,62,4.39,4.43,2.62,Very Good,J,SI1,7,6
353,0.31,58.1,62,4.44,4.47,2.59,Very Good,J,SI1,7,6
354,0.23,60.4,58,3.97,4.01,2.41,Very Good,G,VVS2,4,3
355,0.24,62.5,57,3.97,3.94,2.47,Premium,I,VS1,6,4
357,0.3,62.2,57,4.28,4.3,2.67,Very Good,J,VS2,7,5
357,0.23,60.5,61,3.96,3.97,2.4,Very Good,D,VS2,1,5
357,0.23,60.9,57,3.96,3.99,2.42,Very Good,F,VS1,3,4
402,0.23,60,57,4,4.03,2.41,Very Good,F,VS1,3,4
402,0.23,59.8,57,4.04,4.06,2.42,Very Good,F,VS1,3,4
402,0.23,60.7,59,3.97,4.01,2.42,Very Good,E,VS1,2,4
402,0.23,59.5,58,4.01,4.06,2.4,Very Good,E,VS1,2,4
402,0.23,61.9,58,3.92,3.96,2.44,Very Good,D,VS1,1,4
402,0.23,58.2,59,4.06,4.08,2.37,Good,F,VS1,3,4
402,0.23,64.1,59,3.83,3.85,2.46,Good,E,VS1,2,4
402,0.31,64,54,4.29,4.31,2.75,Good,H,SI1,5,6
403,0.26,60.8,59,4.13,4.16,2.52,Very Good,D,VS2,1,5
403,0.33,61.8,55,4.49,4.51,2.78,Ideal,I,SI2,6,7
403,0.33,61.2,56,4.49,4.5,2.75,Ideal,I,SI2,6,7
403,0.33,61.1,56,4.49,4.55,2.76,Ideal,J,SI1,7,6
403,0.26,65.2,56,3.99,4.02,2.61,Good,D,VS2,1,5
403,0.26,58.4,63,4.19,4.24,2.46,Good,D,VS1,1,4
403,0.32,63.1,56,4.34,4.37,2.75,Good,H,SI2,5,7
403,0.29,62.4,58,4.24,4.26,2.65,Premium,F,SI1,3,6
403,0.32,61.8,55,4.35,4.42,2.71,Very Good,H,SI2,5,7
403,0.32,63.8,56,4.36,4.38,2.79,Good,H,SI2,5,7
404,0.25,63.3,60,4,4.03,2.54,Very Good,E,VS2,2,5
404,0.29,60.7,60,4.33,4.37,2.64,Very Good,H,SI2,5,7
404,0.24,60.9,61,4.02,4.03,2.45,Very Good,F,SI1,3,6
404,0.23,61.9,54,3.93,3.95,2.44,Ideal,G,VS1,4,4
404,0.32,60.9,55,4.45,4.48,2.72,Ideal,I,SI1,6,6
404,0.22,61.6,58,3.93,3.89,2.41,Premium,E,VS2,2,5
404,0.22,59.3,62,3.91,3.88,2.31,Premium,D,VS2,1,5
405,0.3,61,59,4.3,4.33,2.63,Ideal,I,SI2,6,7
405,0.3,59.3,61,4.43,4.38,2.61,Premium,J,SI2,7,7
405,0.3,62.6,57,4.25,4.28,2.67,Very Good,I,SI1,6,6
405,0.3,63,57,4.28,4.32,2.71,Very Good,I,SI1,6,6
405,0.3,63.2,55,4.25,4.29,2.7,Good,I,SI1,6,6
552,0.35,60.9,57,4.54,4.59,2.78,Ideal,I,VS1,6,4
552,0.3,62.6,59,4.23,4.27,2.66,Premium,D,SI1,1,6
552,0.3,62.5,57,4.29,4.32,2.69,Ideal,D,SI1,1,6
552,0.3,62.1,56,4.3,4.33,2.68,Ideal,D,SI1,1,6
552,0.42,61.5,59,4.78,4.84,2.96,Premium,I,SI2,6,7
553,0.28,61.4,56,4.19,4.22,2.58,Ideal,G,VVS2,4,3
553,0.32,62,55.3,4.39,4.42,2.73,Ideal,I,VVS1,6,2
553,0.31,63.3,57,4.33,4.3,2.73,Very Good,G,SI1,4,6
553,0.31,61.8,58,4.35,4.32,2.68,Premium,G,SI1,4,6
553,0.24,60.7,58,4.01,4.03,2.44,Premium,E,VVS1,2,2
553,0.24,61.5,60,3.97,4,2.45,Very Good,D,VVS1,1,2
554,0.3,63.1,56,4.29,4.27,2.7,Very Good,H,SI1,5,6
554,0.3,62.9,59,4.28,4.24,2.68,Premium,H,SI1,5,6
554,0.3,62.5,57,4.29,4.25,2.67,Premium,H,SI1,5,6
554,0.3,63.7,57,4.28,4.26,2.72,Good,H,SI1,5,6
554,0.26,59.2,60,4.19,4.22,2.49,Very Good,F,VVS2,3,3
554,0.26,59.9,58,4.15,4.23,2.51,Very Good,E,VVS2,2,3
554,0.26,62.4,54,4.08,4.13,2.56,Very Good,D,VVS2,1,3
554,0.26,62.8,60,4.01,4.05,2.53,Very Good,D,VVS2,1,3
554,0.26,62.6,59,4.06,4.09,2.55,Very Good,E,VVS1,2,2
554,0.26,63.4,59,4,4.04,2.55,Very Good,E,VVS1,2,2
554,0.26,62.1,60,4.03,4.12,2.53,Very Good,D,VVS1,1,2
554,0.26,62.9,58,4.02,4.06,2.54,Ideal,E,VVS2,2,3
554,0.38,61.6,56,4.65,4.67,2.87,Ideal,I,SI2,6,7
554,0.26,57.9,60,4.22,4.25,2.45,Good,E,VVS1,2,2
554,0.24,62.3,59,3.95,3.92,2.45,Premium,G,VVS1,4,2
554,0.24,61.2,58,4.01,3.96,2.44,Premium,H,VVS1,5,2
554,0.24,60.8,59,4.02,4,2.44,Premium,H,VVS1,5,2
554,0.24,60.7,58,4.07,4.04,2.46,Premium,H,VVS2,5,3
554,0.32,62.9,58,4.35,4.33,2.73,Premium,I,SI1,6,6
2757,0.7,62.5,57,5.7,5.72,3.57,Ideal,E,SI1,2,6
2757,0.86,55.1,69,6.45,6.33,3.52,Fair,E,SI2,2,7
2757,0.7,61.6,56,5.7,5.67,3.5,Ideal,G,VS2,4,5
2759,0.71,62.4,57,5.68,5.73,3.56,Very Good,E,VS2,2,5
2759,0.78,63.8,56,5.81,5.85,3.72,Very Good,G,SI2,4,7
2759,0.7,57.5,58,5.85,5.9,3.38,Good,E,VS2,2,5
2759,0.7,59.4,62,5.71,5.76,3.4,Good,F,VS1,3,4
2759,0.96,66.3,62,6.27,5.95,4.07,Fair,F,SI2,3,7
2760,0.73,61.6,59,5.77,5.78,3.56,Very Good,E,SI1,2,6
2760,0.8,61.5,58,5.97,5.93,3.66,Premium,H,SI1,5,6
2760,0.75,63.2,56,5.8,5.75,3.65,Very Good,D,SI1,1,6
2760,0.75,59.9,54,6,5.96,3.58,Premium,E,SI1,2,6
2760,0.74,61.6,55,5.8,5.85,3.59,Ideal,G,SI1,4,6
2760,0.75,61.7,58,5.85,5.79,3.59,Premium,G,VS2,4,5
2760,0.8,62.9,56,5.94,5.87,3.72,Ideal,I,VS1,6,4
2760,0.75,62.2,55,5.87,5.8,3.63,Ideal,G,SI1,4,6
2760,0.8,63,59,5.9,5.81,3.69,Premium,G,SI1,4,6
2761,0.74,62.3,55,5.77,5.81,3.61,Ideal,I,VVS2,6,3
2761,0.81,58.8,57,6.14,6.11,3.6,Ideal,F,SI2,3,7
2761,0.59,62,55,5.38,5.43,3.35,Ideal,E,VVS2,2,3
2761,0.8,61.4,57,5.96,6,3.67,Ideal,F,SI2,3,7
2761,0.74,62.2,56,5.8,5.84,3.62,Ideal,E,SI2,2,7
2761,0.9,63,58,6.16,6.12,3.87,Premium,I,VS2,6,5
2762,0.74,62.2,59,5.73,5.82,3.59,Very Good,G,SI1,4,6
2762,0.73,62.6,56,5.77,5.74,3.6,Ideal,F,VS2,3,5
2762,0.73,62.7,53,5.8,5.75,3.62,Ideal,F,VS2,3,5
2762,0.8,61.7,58,5.98,5.94,3.68,Premium,F,SI2,3,7
2762,0.71,62.4,54,5.72,5.76,3.58,Ideal,G,VS2,4,5
2762,0.7,60.7,58,5.73,5.76,3.49,Ideal,E,VS2,2,5
2762,0.8,59.9,59,6.01,6.07,3.62,Ideal,F,SI2,3,7
2762,0.71,62.3,56,5.73,5.69,3.56,Ideal,D,SI2,1,7
2762,0.74,62.3,54,5.8,5.83,3.62,Ideal,E,SI1,2,6
2762,0.7,61.7,63,5.64,5.61,3.47,Very Good,F,VS2,3,5
2762,0.7,64.5,57,5.57,5.53,3.58,Fair,F,VS2,3,5
2762,0.7,65.3,55,5.63,5.58,3.66,Fair,F,VS2,3,5
2762,0.7,61.6,60,5.65,5.59,3.46,Premium,F,VS2,3,5
2763,0.91,61.4,56,6.09,5.97,3.7,Premium,H,SI1,5,6
2763,0.61,59.6,57,5.56,5.58,3.32,Very Good,D,VVS2,1,3
2763,0.91,64.4,57,6.11,6.09,3.93,Fair,H,SI2,5,7
2763,0.91,65.7,60,6.03,5.99,3.95,Fair,H,SI2,5,7
2763,0.77,62,56,5.89,5.86,3.64,Ideal,H,VS2,5,5
2764,0.71,63.6,58,5.64,5.68,3.6,Very Good,D,SI1,1,6
2764,0.71,61.9,59,5.69,5.72,3.53,Ideal,D,SI1,1,6
2765,0.7,62.6,60,5.62,5.65,3.53,Very Good,E,VS2,2,5
2765,0.77,61.3,60,5.88,5.9,3.61,Very Good,H,VS1,5,4
2765,0.63,60.9,60,5.52,5.55,3.37,Premium,E,VVS1,2,2
2765,0.71,60.1,62,5.74,5.77,3.46,Very Good,F,VS1,3,4
2765,0.71,61.8,59,5.69,5.73,3.53,Premium,F,VS1,3,4
2765,0.76,61.2,57,5.88,5.91,3.61,Ideal,H,SI1,5,6
2766,0.64,61.9,56,5.53,5.56,3.43,Ideal,G,VVS1,4,2
2766,0.71,60.9,57,5.78,5.75,3.51,Premium,G,VS2,4,5
2766,0.71,59.8,56,5.89,5.81,3.5,Premium,G,VS2,4,5
2767,0.7,61.8,55,5.68,5.72,3.52,Very Good,D,VS2,1,5
2767,0.7,60,57,5.8,5.87,3.5,Very Good,F,VS1,3,4
2767,0.71,61.6,55,5.74,5.76,3.54,Ideal,D,SI2,1,7
2767,0.7,62.1,64,5.62,5.65,3.5,Good,H,VVS2,5,3
2768,0.71,63.3,59,5.52,5.61,3.52,Very Good,G,VS1,4,4
2768,0.73,60.2,56,5.83,5.87,3.52,Very Good,D,SI1,1,6
2768,0.7,61.1,58,5.66,5.73,3.48,Very Good,D,SI1,1,6
2768,0.7,60.9,57,5.73,5.76,3.5,Ideal,E,SI1,2,6
2768,0.71,61.7,59,5.71,5.67,3.51,Premium,D,SI2,1,7
2769,0.74,61.3,56,5.82,5.86,3.57,Ideal,I,SI1,6,6
2770,0.71,62.5,60,5.65,5.61,3.52,Premium,D,VS2,1,5
2770,0.73,61.4,59,5.83,5.76,3.56,Premium,G,VS2,4,5
2770,0.76,62.9,57,5.79,5.81,3.65,Very Good,F,SI1,3,6
2770,0.76,62.4,57,5.78,5.83,3.62,Ideal,D,SI2,1,7
2770,0.71,60.7,56,5.77,5.8,3.51,Ideal,F,SI1,3,6
2770,0.73,60.7,58,5.87,5.82,3.55,Premium,G,VS2,4,5
2770,0.73,61.5,58,5.79,5.75,3.55,Premium,G,VS1,4,4
2770,0.73,59.9,57,5.92,5.89,3.54,Ideal,D,SI2,1,7
2770,0.73,59.2,59,5.92,5.87,3.49,Premium,G,VS2,4,5
2771,0.72,60.3,56,5.81,5.83,3.51,Very Good,H,VVS2,5,3
2771,0.73,61.7,60,5.79,5.82,3.58,Very Good,F,SI1,3,6
2771,0.71,61.9,57,5.73,5.77,3.56,Ideal,G,VS2,4,5
2771,0.79,61.9,55,5.97,5.92,3.68,Ideal,F,SI2,3,7
2772,0.73,60.4,59,5.83,5.89,3.54,Very Good,H,VVS1,5,2
2772,0.8,61,57,6.01,6.03,3.67,Very Good,F,SI2,3,7
2772,0.58,61.5,55,5.39,5.44,3.33,Ideal,G,VVS1,4,2
2772,0.58,61.7,56,5.33,5.37,3.3,Ideal,F,VVS1,3,2
2772,0.71,59.2,61,5.8,5.88,3.46,Good,E,VS2,2,5
2773,0.75,61.3,56,5.85,5.89,3.6,Ideal,D,SI2,1,7
2773,0.7,58,62,5.87,5.78,3.38,Premium,D,VS2,1,5
2774,1.17,60.2,61,6.83,6.9,4.13,Very Good,J,I1,7,8
2774,0.6,61.7,55,5.41,5.44,3.35,Ideal,E,VS1,2,4
2774,0.7,62.7,55,5.68,5.74,3.58,Ideal,E,SI1,2,6
2774,0.83,64.6,54,5.85,5.88,3.79,Good,I,VS2,6,5
2775,0.74,61.3,61,5.8,5.84,3.57,Very Good,F,VS2,3,5
2776,0.72,63.7,56.4,5.62,5.69,3.61,Very Good,G,VS2,4,5
2776,0.71,62.7,58,5.74,5.68,3.58,Premium,E,VS2,2,5
2776,0.71,62.2,57,5.79,5.62,3.55,Ideal,E,VS2,2,5
2776,0.54,61.6,56,5.25,5.27,3.24,Ideal,E,VVS2,2,3
2776,0.54,61.5,57,5.24,5.26,3.23,Ideal,E,VVS2,2,3
2776,0.72,61.8,56,5.72,5.75,3.55,Ideal,G,SI1,4,6
2776,0.72,60.7,56,5.79,5.82,3.53,Ideal,G,SI1,4,6
2776,0.72,59.7,60.5,5.8,5.84,3.47,Good,G,VS2,4,5
2776,0.71,60.5,56,5.8,5.76,3.5,Ideal,G,SI1,4,6
2777,0.7,62.7,58,5.66,5.73,3.57,Very Good,D,VS1,1,4
2777,0.71,62.1,58,5.67,5.7,3.53,Premium,F,VS2,3,5
2777,0.71,62.8,57,5.64,5.69,3.56,Very Good,F,VS2,3,5
2777,0.71,63.8,58,5.61,5.64,3.59,Good,F,VS2,3,5
2777,0.71,57.8,60,5.87,5.9,3.4,Good,F,VS2,3,5
2777,0.7,62.1,55,5.7,5.67,3.53,Ideal,E,VS2,2,5
2777,0.7,61.1,60,5.71,5.64,3.47,Premium,E,VS2,2,5
2777,0.7,60,59,5.79,5.75,3.46,Premium,E,SI1,2,6
2777,0.7,61.2,57,5.73,5.68,3.49,Premium,E,SI1,2,6
2777,0.7,62.7,59,5.67,5.63,3.54,Premium,E,SI1,2,6
2777,0.7,61,57,5.73,5.68,3.48,Premium,E,SI1,2,6
2777,0.7,61,58,5.78,5.72,3.51,Premium,E,SI1,2,6
2777,0.7,61.4,57,5.76,5.7,3.52,Ideal,E,SI1,2,6
2777,0.72,61.8,61,5.82,5.71,3.56,Premium,F,SI1,3,6
2777,0.7,59.9,63,5.76,5.7,3.43,Very Good,E,SI1,2,6
2777,0.7,61.3,58,5.71,5.68,3.49,Premium,E,SI1,2,6
2777,0.7,60.5,58,5.77,5.74,3.48,Premium,E,SI1,2,6
2777,0.7,64.1,59,5.64,5.59,3.6,Good,E,VS2,2,5
2777,0.98,67.9,60,6.05,5.97,4.08,Fair,H,SI2,5,7
2777,0.78,62.4,58,5.83,5.8,3.63,Premium,F,SI1,3,6
2777,0.7,63.2,60,5.6,5.51,3.51,Very Good,E,SI1,2,6
2778,0.52,61.3,55,5.19,5.22,3.19,Ideal,F,VVS1,3,2
2779,0.73,60.8,56,5.82,5.84,3.55,Very Good,H,VS2,5,5
2779,0.74,61.7,56,5.84,5.8,3.59,Ideal,E,SI1,2,6
2780,0.7,63.6,57,5.61,5.65,3.58,Very Good,F,VS2,3,5
2780,0.77,61.2,58,5.9,5.93,3.62,Premium,G,VS2,4,5
2780,0.71,62.1,54,5.68,5.72,3.54,Ideal,F,VS2,3,5
2780,0.74,61.5,55,5.81,5.86,3.59,Ideal,G,VS1,4,4
2780,0.7,61.4,59,5.64,5.73,3.49,Ideal,G,VS1,4,4
2781,1.01,61.8,60,6.39,6.36,3.94,Premium,F,I1,3,8
2781,0.77,62.2,56,5.83,5.88,3.64,Ideal,H,SI1,5,6
2781,0.78,61.2,56,5.92,5.99,3.64,Ideal,H,SI1,5,6
2782,0.72,60.6,63,5.83,5.76,3.51,Very Good,H,VS1,5,4
2782,0.53,57.5,64,5.34,5.37,3.08,Very Good,D,VVS2,1,3
2782,0.76,61.3,56,5.9,5.94,3.63,Ideal,G,VS2,4,5
2782,0.7,57.2,62,5.81,5.77,3.31,Good,E,VS1,2,4
2782,0.7,62.9,60,5.62,5.54,3.51,Premium,E,VS1,2,4
2782,0.75,63.1,58,5.78,5.73,3.63,Very Good,D,SI2,1,7
2782,0.72,60.8,57,5.76,5.75,3.5,Ideal,D,SI1,1,6
2782,0.72,62.7,59,5.73,5.69,3.58,Premium,D,SI1,1,6
2782,0.7,62.8,60,5.68,5.66,3.56,Premium,D,SI1,1,6
2782,0.84,55.1,67,6.39,6.2,3.47,Fair,G,SI1,4,6
2782,0.75,61.4,59,5.88,5.85,3.6,Premium,F,SI1,3,6
2783,0.52,62.2,55,5.14,5.18,3.21,Ideal,F,IF,3,1
2784,0.72,63,54,5.69,5.73,3.6,Very Good,F,VS2,3,5
2784,0.79,63.7,56,5.85,5.92,3.75,Very Good,H,VS1,5,4
2787,0.72,63.6,58,5.66,5.69,3.61,Very Good,F,VS2,3,5
2787,0.51,62,57,5.11,5.15,3.18,Ideal,F,VVS1,3,2
2787,0.64,61.5,56,5.54,5.55,3.41,Ideal,D,VS1,1,4
2788,0.7,60.5,60,5.74,5.77,3.48,Very Good,H,VVS1,5,2
2788,0.83,61.1,60,6.07,6.1,3.72,Very Good,I,VS1,6,4
2788,0.76,61.8,56,5.85,5.87,3.62,Ideal,I,VVS2,6,3
2788,0.71,63.3,56,5.64,5.68,3.58,Good,D,VS2,1,5
2788,0.77,59.4,64,5.97,5.92,3.53,Good,G,VS1,4,4
2788,0.71,62.5,55,5.71,5.65,3.55,Ideal,F,SI1,3,6
2788,1.01,64.5,58,6.29,6.21,4.03,Fair,E,I1,2,8
2788,1.01,62.7,59,6.31,6.22,3.93,Premium,H,SI2,5,7
2789,0.77,64.2,52,5.81,5.77,3.72,Good,F,SI1,3,6
2789,0.76,63.7,54,5.76,5.85,3.7,Good,E,SI1,2,6
2789,0.76,60.4,58,5.92,5.94,3.58,Premium,E,SI1,2,6
2789,0.76,61.8,58,5.82,5.86,3.61,Premium,E,SI1,2,6
2789,1.05,63.2,56,6.49,6.45,4.09,Very Good,J,SI2,7,7
2789,0.81,61.6,56,5.97,6.01,3.69,Ideal,G,SI2,4,7
2789,0.7,61.6,56,5.72,5.75,3.53,Ideal,E,SI1,2,6
2789,0.55,60.9,57,5.28,5.3,3.22,Ideal,G,IF,4,1
2789,0.81,61,61,5.94,5.99,3.64,Good,G,SI2,4,7
2789,0.63,62.1,57,5.48,5.41,3.38,Premium,E,VVS2,2,3
2789,0.63,60.9,60,5.55,5.52,3.37,Premium,E,VVS1,2,2
2789,0.77,61.3,60,5.9,5.88,3.61,Premium,H,VS1,5,4
2789,1.05,65.8,59,6.41,6.27,4.18,Fair,J,SI2,7,7
2790,0.64,61.3,56,5.54,5.58,3.41,Ideal,G,IF,4,1
2790,0.76,58.8,59,6,5.94,3.51,Premium,I,VVS1,6,2
2790,0.83,62.3,55,6.02,6.05,3.76,Ideal,F,SI2,3,7
2790,0.71,60.1,62,5.77,5.74,3.46,Premium,F,VS1,3,4
2790,0.71,61.8,59,5.73,5.69,3.53,Premium,F,VS1,3,4
2791,0.87,63.6,55.8,6.07,6.1,3.87,Very Good,I,SI1,6,6
2791,0.73,62.2,56,5.74,5.78,3.58,Ideal,E,SI1,2,6
2792,0.71,59.2,59,5.83,5.86,3.46,Premium,E,SI1,2,6
2792,0.71,61.8,59,5.7,5.75,3.54,Premium,E,SI1,2,6
2792,0.71,61.3,55,5.72,5.77,3.52,Ideal,E,SI1,2,6
2792,0.7,62.1,60,5.71,5.65,3.53,Premium,F,VS1,3,4
2792,0.7,60.7,60,5.78,5.75,3.5,Premium,F,VS1,3,4
2792,0.76,59.6,57,5.91,5.86,3.51,Premium,H,VVS2,5,3
2792,0.7,62.2,56,5.73,5.68,3.55,Ideal,F,VS1,3,4
2793,0.79,60.6,57,5.98,6.06,3.65,Very Good,G,SI1,4,6
2793,0.7,62.9,57,5.66,5.69,3.57,Very Good,E,VS2,2,5
2793,0.7,64.1,55,5.6,5.66,3.61,Good,E,VS2,2,5
2793,0.76,61.3,56,5.87,5.91,3.61,Ideal,I,VS2,6,5
2793,0.73,62.7,55,5.72,5.76,3.6,Ideal,H,VS2,5,5
2794,0.79,63.2,56,5.91,5.86,3.72,Very Good,E,SI1,2,6
2795,0.71,60.7,56,5.81,5.82,3.53,Very Good,E,VS2,2,5
2795,0.81,61.9,60,5.91,5.86,3.64,Premium,I,VVS2,6,3
2795,0.81,62.6,55,5.92,5.96,3.72,Ideal,F,SI2,3,7
2795,0.72,60.7,60,5.74,5.72,3.48,Good,F,VS1,3,4
2795,0.72,62,60,5.73,5.69,3.54,Premium,D,SI2,1,7
2795,0.72,63,57,5.72,5.7,3.6,Premium,I,IF,6,1
2795,0.81,58,59,6.17,6.13,3.57,Premium,H,VS2,5,5
2795,0.72,62.9,57,5.73,5.65,3.58,Premium,G,VS2,4,5
2795,1,58.2,60,6.61,6.55,3.83,Premium,I,SI2,6,7
2796,0.73,63.2,58,5.7,5.76,3.62,Good,E,SI1,2,6
2797,0.81,61.3,59,5.94,6.01,3.66,Very Good,H,SI2,5,7
2797,0.81,60.3,60,6.07,6.1,3.67,Very Good,E,SI1,2,6
2797,0.71,62.7,60,5.67,5.71,3.57,Premium,D,SI1,1,6
2797,0.71,61.3,58,5.73,5.75,3.52,Premium,D,SI1,1,6
2797,0.71,61.6,60,5.74,5.69,3.52,Premium,D,SI1,1,6
2797,0.57,61.9,55,5.34,5.35,3.31,Ideal,F,VVS2,3,3
2797,0.51,61.7,56,5.12,5.16,3.17,Ideal,D,VVS1,1,2
2797,0.72,61.9,58,5.72,5.75,3.55,Ideal,G,VS2,4,5
2797,0.74,61.8,58,5.77,5.81,3.58,Ideal,H,VS1,5,4
2797,0.74,61.6,56,5.81,5.82,3.58,Ideal,H,VS1,5,4
2797,0.7,58.8,66,5.81,5.9,3.44,Fair,G,VVS1,4,2
2797,0.8,61,57,6.03,6.01,3.67,Premium,F,SI2,3,7
2797,1.01,67.4,60,6.19,6.05,4.13,Fair,E,SI2,2,7
2797,0.8,63.4,60,5.92,5.82,3.72,Very Good,H,VS2,5,5
2798,0.77,61.5,59,5.87,5.91,3.62,Ideal,I,VS1,6,4
2799,0.83,58,62,6.19,6.25,3.61,Very Good,E,SI2,2,7
2799,0.82,62.4,54,5.97,6.02,3.74,Ideal,F,SI2,3,7
2799,0.78,61.9,57,5.91,5.86,3.64,Ideal,D,SI1,1,6
2800,0.6,61.6,56,5.43,5.46,3.35,Very Good,G,IF,4,1
2800,0.9,62.2,59,6.07,6.11,3.79,Good,I,SI2,6,7
2800,0.7,62.2,58,5.6,5.66,3.5,Premium,E,VS1,2,4
2800,0.9,61.3,56,6.17,6.23,3.8,Very Good,I,SI2,6,7
2800,0.83,62.3,57,5.99,6.08,3.76,Ideal,G,SI1,4,6
2800,0.83,61.8,57,6.03,6.07,3.74,Ideal,G,SI1,4,6
2800,0.83,62.5,59,5.95,6.02,3.74,Very Good,H,SI1,5,6
2800,0.74,62.9,60,5.74,5.68,3.59,Premium,G,VS1,4,4
2800,0.79,61.8,59,5.92,5.95,3.67,Ideal,I,VS1,6,4
2800,0.61,62.3,56,5.43,5.45,3.39,Ideal,G,IF,4,1
2800,0.76,59,70,5.89,5.8,3.46,Fair,G,VS1,4,4
2801,0.96,60.7,55,6.37,6.41,3.88,Ideal,F,I1,3,8
2801,0.73,62.5,55,5.8,5.76,3.61,Ideal,F,VS2,3,5
2801,0.73,62.7,58,5.76,5.7,3.59,Premium,F,VS2,3,5
2801,0.75,60.4,57,5.93,5.96,3.59,Ideal,H,SI1,5,6
2801,0.71,62.1,58,5.7,5.67,3.53,Premium,F,VS2,3,5
2801,0.71,57.8,60,5.9,5.87,3.4,Good,F,VS2,3,5
2801,0.71,63.8,58,5.64,5.61,3.59,Good,F,VS2,3,5
2801,0.71,62.8,57,5.69,5.64,3.56,Premium,F,VS2,3,5
2801,1.04,62.2,58,6.46,6.41,4,Premium,G,I1,4,8
2801,1,62.3,58,6.45,6.34,3.98,Premium,J,SI2,7,7
2802,0.87,59.9,58,6.19,6.23,3.72,Very Good,G,SI2,4,7
2802,0.53,61.9,54,5.22,5.25,3.24,Ideal,F,IF,3,1
2802,0.72,63,55,5.79,5.61,3.59,Premium,E,VS2,2,5
2802,0.72,62.4,58,5.83,5.7,3.6,Premium,F,VS1,3,4
2803,0.7,62.9,58,5.63,5.65,3.55,Very Good,F,VS2,3,5
2803,0.74,63.5,56,5.74,5.79,3.66,Very Good,E,SI1,2,6
2803,0.71,61.3,56,5.75,5.71,3.51,Ideal,G,VS2,4,5
2803,0.73,60.6,54,5.84,5.89,3.55,Ideal,E,SI1,2,6
2803,0.7,65.1,58,5.56,5.59,3.63,Good,G,VS1,4,4
2803,0.71,62.6,58,5.7,5.67,3.56,Premium,F,VS2,3,5
2803,0.71,58,62,5.85,5.81,3.38,Premium,F,VS2,3,5
2803,0.71,62.4,61,5.7,5.65,3.54,Premium,G,VS1,4,4
