price,carat,length,width,depth,cut
326,0.23,3.95,3.98,2.43,Ideal
340,0.23,3.93,3.9,2.46,Ideal
344,0.31,4.35,4.37,2.71,Ideal
348,0.3,4.31,4.34,2.68,Ideal
403,0.33,4.49,4.51,2.78,Ideal
403,0.33,4.49,4.5,2.75,Ideal
403,0.33,4.49,4.55,2.76,Ideal
404,0.23,3.93,3.95,2.44,Ideal
404,0.32,4.45,4.48,2.72,Ideal
405,0.3,4.3,4.33,2.63,Ideal
552,0.35,4.54,4.59,2.78,Ideal
552,0.3,4.29,4.32,2.69,Ideal
552,0.3,4.3,4.33,2.68,Ideal
553,0.28,4.19,4.22,2.58,Ideal
553,0.32,4.39,4.42,2.73,Ideal
554,0.26,4.02,4.06,2.54,Ideal
554,0.38,4.65,4.67,2.87,Ideal
2757,0.7,5.7,5.72,3.57,Ideal
2757,0.7,5.7,5.67,3.5,Ideal
2760,0.74,5.8,5.85,3.59,Ideal
2760,0.8,5.94,5.87,3.72,Ideal
2760,0.75,5.87,5.8,3.63,Ideal
2761,0.74,5.77,5.81,3.61,Ideal
2761,0.81,6.14,6.11,3.6,Ideal
2761,0.59,5.38,5.43,3.35,Ideal
2761,0.8,5.96,6,3.67,Ideal
2761,0.74,5.8,5.84,3.62,Ideal
2762,0.73,5.77,5.74,3.6,Ideal
2762,0.73,5.8,5.75,3.62,Ideal
2762,0.71,5.72,5.76,3.58,Ideal
2762,0.7,5.73,5.76,3.49,Ideal
2762,0.8,6.01,6.07,3.62,Ideal
2762,0.71,5.73,5.69,3.56,Ideal
2762,0.74,5.8,5.83,3.62,Ideal
2763,0.77,5.89,5.86,3.64,Ideal
2764,0.71,5.69,5.72,3.53,Ideal
2765,0.76,5.88,5.91,3.61,Ideal
2766,0.64,5.53,5.56,3.43,Ideal
2767,0.71,5.74,5.76,3.54,Ideal
2768,0.7,5.73,5.76,3.5,Ideal
2769,0.74,5.82,5.86,3.57,Ideal
2770,0.76,5.78,5.83,3.62,Ideal
2770,0.71,5.77,5.8,3.51,Ideal
2770,0.73,5.92,5.89,3.54,Ideal
2771,0.71,5.73,5.77,3.56,Ideal
2771,0.79,5.97,5.92,3.68,Ideal
2772,0.58,5.39,5.44,3.33,Ideal
2772,0.58,5.33,5.37,3.3,Ideal
2773,0.75,5.85,5.89,3.6,Ideal
2774,0.6,5.41,5.44,3.35,Ideal
2774,0.7,5.68,5.74,3.58,Ideal
2776,0.71,5.79,5.62,3.55,Ideal
2776,0.54,5.25,5.27,3.24,Ideal
2776,0.54,5.24,5.26,3.23,Ideal
2776,0.72,5.72,5.75,3.55,Ideal
2776,0.72,5.79,5.82,3.53,Ideal
2776,0.71,5.8,5.76,3.5,Ideal
2777,0.7,5.7,5.67,3.53,Ideal
2777,0.7,5.76,5.7,3.52,Ideal
2778,0.52,5.19,5.22,3.19,Ideal
2779,0.74,5.84,5.8,3.59,Ideal
2780,0.71,5.68,5.72,3.54,Ideal
2780,0.74,5.81,5.86,3.59,Ideal
2780,0.7,5.64,5.73,3.49,Ideal
2781,0.77,5.83,5.88,3.64,Ideal
2781,0.78,5.92,5.99,3.64,Ideal
2782,0.76,5.9,5.94,3.63,Ideal
2782,0.72,5.76,5.75,3.5,Ideal
2783,0.52,5.14,5.18,3.21,Ideal
2787,0.51,5.11,5.15,3.18,Ideal
2787,0.64,5.54,5.55,3.41,Ideal
2788,0.76,5.85,5.87,3.62,Ideal
2788,0.71,5.71,5.65,3.55,Ideal
2789,0.81,5.97,6.01,3.69,Ideal
2789,0.7,5.72,5.75,3.53,Ideal
2789,0.55,5.28,5.3,3.22,Ideal
2790,0.64,5.54,5.58,3.41,Ideal
2790,0.83,6.02,6.05,3.76,Ideal
2791,0.73,5.74,5.78,3.58,Ideal
2792,0.71,5.72,5.77,3.52,Ideal
2792,0.7,5.73,5.68,3.55,Ideal
2793,0.76,5.87,5.91,3.61,Ideal
2793,0.73,5.72,5.76,3.6,Ideal
2795,0.81,5.92,5.96,3.72,Ideal
2797,0.57,5.34,5.35,3.31,Ideal
2797,0.51,5.12,5.16,3.17,Ideal
2797,0.72,5.72,5.75,3.55,Ideal
2797,0.74,5.77,5.81,3.58,Ideal
2797,0.74,5.81,5.82,3.58,Ideal
2798,0.77,5.87,5.91,3.62,Ideal
2799,0.82,5.97,6.02,3.74,Ideal
2799,0.78,5.91,5.86,3.64,Ideal
2800,0.83,5.99,6.08,3.76,Ideal
2800,0.83,6.03,6.07,3.74,Ideal
2800,0.79,5.92,5.95,3.67,Ideal
2800,0.61,5.43,5.45,3.39,Ideal
2801,0.96,6.37,6.41,3.88,Ideal
2801,0.73,5.8,5.76,3.61,Ideal
2801,0.75,5.93,5.96,3.59,Ideal
2802,0.53,5.22,5.25,3.24,Ideal
2803,0.71,5.75,5.71,3.51,Ideal
2803,0.73,5.84,5.89,3.55,Ideal
2803,0.91,6.21,6.15,3.85,Ideal
2804,0.72,5.74,5.77,3.55,Ideal
2804,0.82,6.01,6.08,3.72,Ideal
2804,0.7,5.68,5.7,3.47,Ideal
2804,0.72,5.74,5.77,3.58,Ideal
2804,0.72,5.77,5.8,3.56,Ideal
2805,0.73,5.77,5.81,3.58,Ideal
2805,0.72,5.74,5.7,3.59,Ideal
2806,0.7,5.72,5.74,3.53,Ideal
2808,0.58,5.41,5.43,3.3,Ideal
2810,0.74,5.81,5.85,3.6,Ideal
554,0.32,4.37,4.35,2.72,Ideal
554,0.32,4.47,4.42,2.7,Ideal
554,0.3,4.27,4.22,2.67,Ideal
554,0.33,4.85,4.79,2.95,Ideal
555,0.34,4.47,4.5,2.76,Ideal
555,0.34,4.54,4.57,2.75,Ideal
555,0.34,4.48,4.52,2.78,Ideal
555,0.34,4.5,4.53,2.8,Ideal
555,0.3,4.29,4.31,2.68,Ideal
555,0.29,4.26,4.31,2.64,Ideal
555,0.35,4.56,4.58,2.77,Ideal
556,0.36,4.54,4.57,2.82,Ideal
556,0.3,4.28,4.3,2.66,Ideal
556,0.26,4.09,4.12,2.52,Ideal
2812,0.71,5.69,5.72,3.56,Ideal
2812,0.51,5.15,5.11,3.18,Ideal
2814,0.76,5.88,5.85,3.62,Ideal
2815,0.7,5.75,5.81,3.49,Ideal
2815,0.7,5.7,5.76,3.52,Ideal
2815,0.7,5.73,5.79,3.54,Ideal
2815,0.7,5.72,5.77,3.53,Ideal
2816,0.61,5.52,5.54,3.32,Ideal
2816,0.87,6.16,6.13,3.85,Ideal
2816,0.83,6.04,6,3.76,Ideal
2817,0.71,5.84,5.89,3.53,Ideal
2817,0.71,5.66,5.64,3.54,Ideal
2817,0.63,5.48,5.52,3.38,Ideal
2817,0.71,5.77,5.72,3.52,Ideal
2817,0.9,6.2,6.16,3.88,Ideal
2818,0.8,6.07,6,3.68,Ideal
